"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.685156250E4,2.606512708E-1
1.687500000E4,4.862504461E-1
1.689843750E4,8.321819016E-2
1.692187500E4,3.326970876E-1
1.694531250E4,3.717230025E-1
1.696875000E4,6.840165002E-1
1.699218750E4,6.527453832E-1
1.701562500E4,5.600508134E-1
1.703906250E4,6.757100850E-1
1.706250000E4,3.519773659E-1
1.708593750E4,4.629072260E-1
1.710937500E4,2.750523717E-1
1.713281250E4,2.443750181E-1
1.715625000E4,2.371351062E-1
1.717968750E4,3.456630825E-1
1.720312500E4,2.382040211E-1
1.722656250E4,2.922602533E-1
1.725000000E4,2.722599785E-1
1.727343750E4,2.059855412E-1
1.729687500E4,1.014418543E-1
1.732031250E4,4.224520537E-1
1.734375000E4,4.005098145E-2
1.736718750E4,1.156094539E-1
1.739062500E4,4.186988348E-1
1.741406250E4,9.145109455E-2
1.743750000E4,7.283655731E-2
1.746093750E4,4.802057999E-1
1.748437500E4,9.473508541E-2
1.750781250E4,7.830852718E-2
1.753125000E4,1.485576394E-1
1.755468750E4,1.090260463E-1
1.757812500E4,2.113615203E-1
1.760156250E4,2.578435033E-1
1.762500000E4,1.699171750E-1
1.764843750E4,2.328221783E-1
1.767187500E4,7.217275487E-2
1.769531250E4,1.809308933E-1
1.771875000E4,7.773839017E-2
1.774218750E4,1.570726333E-1
1.776562500E4,1.667379757E-1
1.778906250E4,8.538316075E-2
1.781250000E4,1.172736009E-1
1.783593750E4,5.777355551E-2
1.785937500E4,2.411380837E-2
1.788281250E4,7.154299810E-2
1.790625000E4,9.731411931E-2
1.792968750E4,1.509650389E-1
1.795312500E4,1.216890481E-1
1.797656250E4,1.545018033E-1
1.800000000E4,1.566562908E-1
1.802343750E4,2.361858090E-1
1.804687500E4,9.929402267E-2
1.807031250E4,9.468752035E-2
1.809375000E4,6.420069948E-2
1.811718750E4,1.614701184E-2
1.814062500E4,1.215533430E-1
1.816406250E4,6.420388615E-2
1.818750000E4,8.778061899E-2
1.821093750E4,3.993213835E-2
1.823437500E4,1.545156773E-1
1.825781250E4,1.187536377E-1
1.828125000E4,1.011698140E-1
1.830468750E4,1.121870043E-1
1.832812500E4,2.051022339E-1
1.835156250E4,5.324164359E-2
1.837500000E4,8.920060688E-2
1.839843750E4,4.843801472E-2
1.842187500E4,6.490468722E-2
1.844531250E4,1.332312597E-1
1.846875000E4,7.846875781E-2
1.849218750E4,5.562126765E-2
1.851562500E4,5.367010418E-2
1.853906250E4,9.133507988E-2
1.856250000E4,2.552160524E-2
1.858593750E4,9.095519897E-2
1.860937500E4,6.161448794E-2
1.863281250E4,5.127475462E-3
1.865625000E4,1.224204289E-2
1.867968750E4,8.845402814E-2
1.870312500E4,7.501947883E-2
1.872656250E4,9.382798744E-2
1.875000000E4,7.515465704E-2
1.877343750E4,6.504540635E-2
1.879687500E4,7.985196540E-2
1.882031250E4,1.064075570E-1
1.884375000E4,4.028624802E-2
1.886718750E4,3.237722299E-2
1.889062500E4,6.860870951E-2
1.891406250E4,2.910908560E-2
1.893750000E4,7.121663056E-2
1.896093750E4,7.832877887E-2
1.898437500E4,1.548374592E-1
1.900781250E4,9.060325728E-2
1.903125000E4,1.426188715E-1
1.905468750E4,8.764362235E-2
1.907812500E4,2.647641246E-2
1.910156250E4,5.754599117E-2
