"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.537500000E4,2.116251685E-2
1.539843750E4,4.410560963E-2
1.542187500E4,3.929310097E-2
1.544531250E4,2.646846241E-2
1.546875000E4,4.129788718E-2
1.549218750E4,2.724239355E-2
1.551562500E4,1.698474065E-2
1.553906250E4,1.002328826E-2
1.556250000E4,4.110162525E-2
1.558593750E4,4.139913025E-2
1.560937500E4,1.084342368E-2
1.563281250E4,4.150244741E-2
1.565625000E4,6.529230316E-3
1.567968750E4,3.896125500E-2
1.570312500E4,8.123113073E-3
1.572656250E4,1.911354276E-2
1.575000000E4,1.178071228E-2
1.577343750E4,1.876890652E-2
1.579687500E4,2.932477848E-2
1.582031250E4,3.072216313E-2
1.584375000E4,4.818089414E-2
1.586718750E4,5.554832435E-2
1.589062500E4,4.810505924E-2
1.591406250E4,3.985827675E-2
1.593750000E4,1.376958143E-2
1.596093750E4,3.490819484E-2
1.598437500E4,1.195461808E-2
1.600781250E4,4.867678597E-2
1.603125000E4,1.954905056E-2
1.605468750E4,6.183188497E-3
1.607812500E4,2.474607169E-2
1.610156250E4,1.328224036E-2
1.612500000E4,2.408854819E-2
1.614843750E4,2.910368095E-2
1.617187500E4,3.452149985E-2
1.619531250E4,2.447752772E-2
1.621875000E4,2.242600341E-3
1.624218750E4,2.960895856E-3
1.626562500E4,3.777021490E-2
1.628906250E4,6.755903061E-3
1.631250000E4,2.241230616E-2
1.633593750E4,3.192836365E-2
1.635937500E4,2.784274241E-2
1.638281250E4,4.127071824E-2
1.640625000E4,3.801703934E-2
1.642968750E4,3.360139636E-2
1.645312500E4,1.920231461E-2
1.647656250E4,8.583976121E-3
1.650000000E4,1.992625016E-2
1.652343750E4,1.506950841E-2
1.654687500E4,2.674585325E-2
1.657031250E4,2.143622629E-2
1.659375000E4,2.034694096E-2
1.661718750E4,1.174644572E-2
1.664062500E4,4.690260641E-3
1.666406250E4,1.273175830E-2
1.668750000E4,1.261986374E-2
1.671093750E4,1.434433687E-2
1.673437500E4,3.929243822E-3
1.675781250E4,2.574148591E-2
1.678125000E4,2.311029682E-2
1.680468750E4,3.695872610E-2
1.682812500E4,2.634378291E-2
1.685156250E4,1.191985896E-2
